abbreviation,اختصار
user,مستعمل,مستخدم
user datagram protocol (UDP),بروتوكول جزئيات المعطيات,بروتوكول حزم بيانات المستخدم
user-friendly,سهلة الاستعمال,سهل الاستخدام
user guide,دليل مستعمل
user interface,وجيهة مستعمل,اسم مستخدم,التواصل بين الإنسان والحاسوب
user profile,جانبية مستعمل
user program,برنامج مستعمل
utility,نفعية,وسيلة
valid,صحيح,صالح
validation,استصحاح,تحقق من سلامة,تأكيد الصلاحية
validity check,مراقبة الصحة,اختبار الصلاحية
version,إصدار
version number,رقم الصيغة
vertical scrollbar,شريط تمرير عمودي
videotex,فيديوتكس
view,رأى,عرض
virtual reality,واقع افتراضي,ملقم ظاهري,الواقع الافتراضي
virtual reality modeling language (VRML),لغة نمذجة الواقع الافتراضي
virtual unit,وحدة افتراضية
virus,فيروس
virus companion,فيروس مصاحب
virus scanner,كاشف الفيروسات
voice,صوت
voice recognition,تعرف على الأصوات,متطاير
voice type,صنف الصوت,مولف الكلام
volatile storage,ذاكرة متطايرة,حجم
warning,تنبيه,إنذار
web,ويب,وب
web manager,مدبر الويب
white pages,صفحات بيضاء
wide area network (WAN),طريق سيار للمعلومات
width,عرض
windowing,منفذة,استقطاع
winsocks,مقابس وندوز
wiper,منزلقة
wireless application protocol (WAP),بروتوكول تطبيقات لاسلكية
wire printer,طابعة إبرية
wiring,تسليك
wizard,مساعد,مرشد
word,كلمة,كلمة عنصر,معالج الكلمات
word length,طول الكلمة
word processing software,برمجية معالجة النصوص
word processor,معالج النصوص,معالج نصوص
workgroup,فريق عمل,مجموعة عمل
working,اشتغال,عمل قيد الإنجاز
working storage,ذاكرة العمل
work station,محطة عمل
world wide web (WWW),شبكة الإنترنيت (النسيج العالمي العنكبوتي)
write,كتابة,أكتب
write instruction,تعليمة الكتابة,أمر كتابة
write lock,رتج كتابة
write only,كتابة فقط
write protection,حماية من الكتابة
yellow book,كتاب أصفر
yellow pages,صفحات صفراء
zero,صفر
zero page,صفحة الصفر
zip,كبس
zoom,زوم,كبر,تكبير
نورج,هيديوغرافيا,Abort,إجهاض
Abortive release,انقطاع (شبكي) مجهض
Abscissa,فاصلة
Absolute,مطلق(ة) (قيمة)
Absolute address,عنوان مطلق
Absolute path,مسار مطلق
Absolute pathname,اسم مسار مطلق
Abstract class,صنف مجرد
Abstract data type,نوع بيانات مجرد,طراز البيانات المجردة
Abstract interpretation,تأويل مجرد
Abstraction,تجريد
Abstract machine,آلة مجردة
Abstract method,طريقة مجردة
Abstract syntax,بنية مجردة
Abstract syntax tree,شجرة بنية مجردة
Accelerated Graphics,مسرع
Accelerator,مسرع
Accent,حركة
Accept,قبول
Acceptance testing,اختبار القبول
Access control list,قائمة التحكم بالنفاذ
Accessibility,إتاحة
Accessible,متاح
Access level,مستوى النفاذ
Access memory,ذاكرة النفاذ
Accessory,كمالي
Access point,نقطة العبور
Accounting management,تسيير الحسابات
Accumulator,مركم
Accuracy,دقة
Acknowledgment,عرفان شكر,إفادة بالتسلم
Acoustic coupler,اكتساب,رابط صوتي
Acquire,اكتساب
Action,إجراء
Active,نشيط,حالة جارية
Activity,نشاط
Actor,فاعل
Actuator,مشغل
Adapt,تكييف
Adaptive answering,إجابة تكيفية
Adaptive learning,تعلم تكييفي
Adaptive routing,توجيه تكيفي,توجيه موائم للمسار
Add,إضافة
Add-In,مضاف
Additional,إضافي
Additive,انضمامي
Addon,عنوان
Addon CD,عنوان
Addressee,مرسل إليه
Addressing,عنونة,العنونة
Adjacency,تجاور
Adjacent,مجاور
Adjust,ضبط
Admin,مدير
Administration,إدارة
Administrative,إداري
Administrator,مدير
Advance,تقدم
Agenda,مفكرة
Agent,مفوض,برنامج ذكى
Aggregate,مجمل
Aggregate type,نوع مجمل
Aggregation,تجميع
Aggregator,مجمع
Aging,تقادم
AGP,موافق,البوابة المسرعة للرسومات
Agree,موافق
Agreement,اتفاق
Airbrush,مرذاذ صباغة
Alarm clock,منبه
Aleph,ألف
Alert box,حوار التنبيه,نافذة تنبيه
Algebraic data type,نوع بيانات جبري
Algebraic structure,بنية جبرية
Algorism,خوارزمية
Aliasing,تسنن,شرشرة
Aliasing bug,خلل تسنن
Align,محاذاة
Alignment,محاذاة,صف البيانات
Allocate,سماح
Allow,سماح
Alpha,ألفا
Alpha channel,قناة ألفا
ALSA,بنية لينكس الصوتية المتقدمة
Alter,تغيير
Alteration,تغيير
Alternating,تناوبي
Alternative,بديل
Amount,كمية
Amper,أمبير
Amplify,تضخيم
Amplitude,سعة
Analogue computer,حاسوب تماثلي
Analysis,تحليل
Anchor,مربط,مرساة (مخطاف)
Anchoring,إرساء
Angle,زاوية
Angle bracket,مكسورة
Animate,تحريك
Animation,تحريكة,توليد الحركة للصور ظاهريا
Anisotropy,تعليق
Annotate,تعليق
Annotation,تعليق حاشية,حاشية
Announce,إعلان
Announcement,إعلان
Answer mode,نمط الإجابة
Antialias,إزالة التسنن
Anti-aliasing,إزالة التسنن,تنعيم الحافات
Antisymmetric,لا متماثل
Antivirus software,برنامج مضاد للفيروسات
Anytime algorithm,خوارزمية لا وقتية
API,واجهة برمجة التطبيقات
Appear,ظهور
Append,إلحاق
Applet,بريمج,برنامج مدمج (أبلت)
Application Launcher,مشغل التطبيق
Applix,تطبيق
Appointment,موعد
Approval,إقرار
Approve,إقرار
Approved,مصادق عليه
Approximate,تقريبي
Approximation algorithm,خوارزمية تقريب
Arabisation,كيفي
Arabization,كيفي
Arbitrary,كيفي
Arc,قوس
Archive site,موقع أرشيفي
Area,منطقة
Area grid,مربعات المساحة
Arena,حلبة
Argument,معطى
Arity,رتبية
Arrange,ترتيب
Arrangement,ترتيبة
Arrow,سهم
Arrowhead,رأس سهم
Arrow key,مفتاح السهم
Artifact,ذكاء اصطناعي
Artificial neural network,شبكة عصبية اصطناعية
Artwork,صاعد
Ascender,صاعد
Ascending,تصاعدي
Ascii,أسكي
Aspect,مظهر
Aspect-oriented programming,برمجة موجهة بالمظاهر
Aspect ratio,نسبة باعية
Assembler,مجمع
Assembly code,شفرة تجميع
Assembly language,لغة تجميعية,لغة التجميع
Asserted,توكيد
Assertion,توكيد,افتراض صحيح
Asset management,تسيير الممتلكات
Assign,إسناد
Assignment problem,مسألة تعيين (برمجة)
Assistant,مساعد
Associative array,مصفوفة ترابطية
Associative memory,ذاكرة ترابطية,ذاكرة المضمون
Asymmetric,لامتناظر
Asymmetrical,لا تناظري
Asymmetrical modulation,لا تزامني
Asynchronous logic,منطق لا تزامني
Atom,ذرة
Atomic,ذري
Atomicity,العلامة @,الذرية
At sign,العلامة @
Attempt,محاولة
Audiographic,سمعي تخطيطي
Audiographic teleconferencing,اجتماع سمعي تخطيطي عن بعد
Authenticate,استيثاق
Authentication ticket,قسيمة استيثاق
Authenticity,صحة
Authentify,مؤلف
Author,مؤلف
Authorization,تصريح,تفويض
Authorize,آلي
Auto,آلي
Autocompletion,اتمام تلقائي
Autoconfiguration,ضبط آلي
Autodetect,كشف آلي
Autofill,ملء آلي
Autoloader,محمل آلي
Automata theory,نظرية الآلات الذاتية التشغيل
Automated testing,اختبار آلي
Automatically,آليا
Automation,تشغيل آلي,تشغيل أوتوماتي (أوتمة)
Autotrace,تتبع آلي
Availability,توفر,إتاحية التشغيل
Available,متوفر
Avatar,أفتار,أفاتار( تشخيص )
Average,متوسط
Average seek time,مدة بحث متوسطة
Away,غائب
Away message,رسالة غياب
Axial,محوري
Axiom,بديهية
Axiomatic semantics,دلاليات بديهية
Axiomatic set theory,نظرية المجموعات البديهية
Axis,محور
Babbleprint,بصمة منطوقة
Backbone site,موقع عمادي
Back door,مدخل سري للنظام,باب خلفي
Backend,منتهى خلفي,نهاية خلفية
Background directory,معالجة في الخلفية
Back link,حمل عكسي
Backlog,حمل عكسي
Backport,حمل عكسي
Back-propagation,انتشار خلفي
Back quote,فاصلة عليا مائلة
Backronym,اسم موجز عكسيا
Backside cache,مخبأ خلفي
Backspace,فراغ للخلف,حركة خلفية
Backtick,فاصلة عليا مائلة
Backtrace,تتبع خلفي
Backtracking,تتبع خلفي,قفول,بحث ارتدادي
Backup,احتياطي,نسخ احتياطي,نسخة احتياطية
Backup rotation,تعاقب احتياطي
Backup software,برنامج احتياط
Backward analysis,تحليل إلى الخلف
Backward chaining,صفد إلى الخلف
Backward compatibility,توافق الإصدارات السابقة
Backward compatible,متوافق خلفيا
Balance,توازن,توازن العقدة
Ban,حيز النطاق
Bareword,أساس قاعدة
Base,أساس قاعدة,أساس
Baseband,نطاق أساسي
Base class,صنف أساسي
Baseline,خط أساسي
Base memory,ذاكرة أساسية
Basename,اسم أساسي
Batch,دفعة
Batcher,معالج دفعات
Batch file,ملف الدفعات
Batching,تدفيع
Battery,بطارية
Baud rate,معدل الباود,معدل بود
Bay,فتحة
Beam,باث
Beamer,باث
Beam search,بحث دعاميع
Beeper,مصفر
Behavior,سلوك
Bell curve,منحنى جرسي
Benchmark,قياس الأداء,أساس تقييم الأداء
Best effort,أفضل جهد (خدمة ...)
Beta,بيتا
Beta abstraction,تجريد بيتا
Beta conversion,تحويل بيتا
Beta reduction,اختزال بيتا
Beta testing,اختبار بيتا
Beta version,إصدار بيتا
Bibliography,المراجع
BiDi,ثنائية الاتجاه
Bidirectional printing,طباعة ثنائية الاتجاه
Big-endian,طرفي كبير
Bijection,تقابل
Bilinear patch,رقعة ثنائية
Binary,ثنائي,بحث (ثنائي)
Binary coded decimal,عشري مرمز ثنائيا,تكويد ثنائي للأرقام العشرية
Binary exponential backoff,رقود أسي ثنائي
Binary large object,كائن ثنائي ضخم
Binary package,حزمة ثنائية
Binary search,بحث ثنائي
Binary tree,شجرة ثنائية
Bind,ربط
Binding,مقبض ارتباط,التزام
Binding handle,مقبض ارتباط
Binding-time analysis,تحليل وقت الارتباط
BIOS,ثنائي القطب,نظام أساسي للتحكم في مدخلات ومخرجات الحاسوب
Bipolar,ثنائي القطب
Bit block transfer,نقل كتلة بت,نقل حزم البيتات
Bit depth,عمق البت
Bit gravity,جاذبية البت
Bitmap display,عرض نقطي
Bitmap font,خط نقطي
Bit mask,قناع البت
Bit pattern,متسلسلة ثنائية,نسق البيتات
Bit plane,مسطح ثنائية
Bit slice,شريحة ثنائيات
Bit string,سلسلة ثنائيات
Bitwise,بتي
Bitwise complement,فراغ,فارغ
Blacklist,فراغ,فارغ,لائحة سوداء
Blend,مزج
Blending,مزج
Bloat,صد حظر كتلة
Block buffer,ممنوع
Blocked,ممنوع
Blocked record,تسجيلة مكتلة
Block-structured,ذو بنية كتل
Block (unit),كتلة
Block (verb),تجميد
Blog,مدونة
Blogosphere,ضبابية (رسم) عدم وضوح
Bluetooth,ضبابية (رسم) عدم وضوح,بلوتوث
Blur,ضبابية (رسم) عدم وضوح
Blu-ray,صورة غائمة
Blur image,صورة غائمة
Body,متن
Bogon filter,ثخين
Bolt,كتاب
Boo,كتاب
Book,كتاب
Boot block,كتلة إقلاع,وحدة إنهاض الحاسوب
Boot image,صورة إقلاع
Booting,إقلاع
Boot loader,محمل الإقلاع,محمل إقلاع,محمل برنامج إنهاض الحاسوب
Bootrom,ذقف إقلاع (ذاكرة إقلاع مقروءة فقط)
Boot server,خادم إقلاع
Border,حد
Bot,آلي
Bottom,أسفل
Bottom-unique,يرتد
Bounce,يرتد,ارتداد
Bounce message,رسالة وثوب
Bound,مقيد
Boundary scan,مسح حدودي
Boundary value analysis,متناه,محدود
Bounded,متناه,محدود
Boundedly complete,مربع إحاطة
Bounding box,مربع إحاطة
Bound variable,مربع,صندوق
Boxed comment,تعليق مربع
Bpp,حاصرة
Brace,حاصرة
Bracket,قوس
Bracket abstraction,تجريد الأقواس
Braille,برايل
Branch,فرع
Branch coverage testing,اختبار تغطية التفرع
Branch delay slot,فتحة تمهيل التفرع
Branch prediction,توقع التفرع
Brand,البحث بالعرض أولا
Breadth-first search,البحث بالعرض أولا,بحث بالعرض أولا
Break point,نقطة انقطاع,نقطة كسر,نقطة المقاطعة,نقطة توقف
Break (program),انقطاع
Break statement,عبارة انقطاع
Bricks,طوب
Bridge (noun),جسر
Bridge (verb),جسر
Briefcase,حقيبة
Brightness,السطوع,سطوع,تدرج اللون وصفاؤه وسطوعه
Broadband,نطاق ترددي واسع,نطاق واسع,نطاق عريض
Broadcast,بث
Broadcast quality video,مرئية ذات جودة إذاعية
Brochure,كتيب كراسة
Broken,معطوب,مكسور
Broken line,خط مقطوع
Brush,فرشاة
Brute force,قوة قاسية
Brute force attack,هجوم بالقوة القاسية
BTP,صاحب
Bubble,صاحب
Buddy,صاحب
Buffer,صوان,موازن,وسيط,مجمع مخازن وسيطة
Buffered write-through,طوفان الصوان
Buffering,طوفان الصوان,خزن موازن
Buffer overflow,طوفان الصوان
Bug fix,إصلاح خلل
Bug fix release,إصدار مصلح
Bug tracking system,نظام متابعة خلال
Build,بناء
Bullet,كرية تعداد,رصاصة,رمز بادئ
Bulletin Board,ساحة نقاش
Bulletin board system,نظام لوحة النشرات
Bullet list,ناقل
Bundle,ناقل
Bundled,ناقل
Burn,ناقل,إحراق
Bus,ناقل,مسار تجميعي
Bus arbitration,حكم النواقل
Bus cycle,دورة نواقل
Bus device,جهاز ناقل
Bus error,خطأ ناقل
Business to business,متاجرة بين عمل وعمل
Bus master,رئيس نواقل,الجهاز المسيطر على المسار
Bus mastering,رئاسة نواقل
Bus priority,أولوية نواقل
Bus request,طلب ناقل
Bus sizing,تحجيم نواقل
Bus watcher,مراقب الناقل
Button,زر
Button binding,ربط أزرار
Button grab,بزبز
Buzz,بزبز
Bypass,تجاوز
Byte addressing,عنونة ثمانيات
Byte-code,شفرة ثمانية
Byte-code compiler,مترجم شفرة ثمانية
Byte-code interpreter,مؤول شفرة ثمانية
Byte compiler,مترجم شفرة ثمانية
Byte order,ترتيب ثمانيات
C,سي,سي شارب
Cable modem,كبل المودم
Cache,كتلة مخبأ,كاش
Cache block,كتلة مخبأ
Cache coherency,تماسك مخبأ
Cache conflict,تعارض في مخبأ
Cache consistency,تماسك مخبأ
Cache controller,متحكم مخبأ
Cache hit,إصابة مخبأ
Cache lease,سطر مخبأ
Cache line,سطر مخبأ
Cache miss,إخطاء مخبأ
Caching,تخزين مؤقت
Caching-only,خبء فقط
Caching server,خادم خبء,خادم تخبئة
CAD,حساب,ك أ د,التصميم بمعاونة الحاسوب (كاد)
Calculate,حساب
Calculation,حساب
Calculator,حاسبة,حسابة,حاسوبة
Calendar,تقويم
Calibration,رد نداء (نظام)
Callback,رد نداء (نظام),نداء عكسي
Call-by-name,نداء بالاسم,استدعاء بالاسم
Call-by-need,نداء بالحاجة
Call-by-reference,نداء بالمرجع
Call-by-value,نداء بالقيمة,استدعاء بالقيمة
Call-by-value-result,نداء بنتيجة القيمة
Callee,منادى
Calling convention,اتفاق نداء
Callout,نداء
Call-with-current-continuation,نداء بالمواصلة الحالية
Camera,كامرة
Candidate key,مفتاح مرشح
Canonical,قانوني
Canonical name,اسم متعارف عليه
Canonicity,قانونية
Canvas,رقعة (الرسم)
Capability,قدرة
Caps,شرح لوحة
Caption,شرح لوحة,إيضاح
Captured image,صورة ملتقطة
Card cage,قفص بطاقات
Cardinality,رئيسي
Cardinal number,عدد أصلي
Card slot,فتحة بطاقات
Caret,قبعة
Carrier scanner,ماسحة حوامل
Carrier signal,إشارة حاملة
Cartesian coordinates,إحداثيات ديكارتية
Cartesian product,جداء ديكارتي
Cascade,تتالي,تتابع
Cascaded list,قائمة مدرجة
Cascading style sheet,حالة
Case,حالة,خاصية في لغة HTML تمكن مبرمجي الويب من تحديد نمط ما يمكن تطبيقه على أي عدد من الصفحات 0 ويمكن تطبيق أكثر من نمط على صفحة واحدة0 فمثلا يمكن لمشرف موقع الويب تحديد نمط شامل لموقع الويب,ثم استخدام أنماط مختلفة لكل قسم من أقسام الموقع 0
Case based reasoning,تفكير مبن على الأمثلة
Case (font),كبر (حروف),حالة (الحرف)
Case insensitive,غير متأثر بكبر الحروف
Case Sensitive,حساس لحالة الحرف,مميز لحالة الأحرف
Case sensitivity,تأثر بكبر الحروف
Case statement,عبارة حالة
Cast,كتالوج,مسرد
Casting,كتالوج,مسرد
Catch-all,قبض كل المداخل
Catch-all-entry,قبض كل المداخل
Categories,تصنيفات
Category,فئة
Catenet,أنبوب حزات كاثودي
Cathode ray tube,أنبوب حزات كاثودي,أنبوبة أشعة الكاثود
Cationic cocktail,محلول كاتيوني
Cause-effect graphing,تخطيط سببي مسببي
CD,لوحة تحكم CDE,قرص مدمج ( سي دي),سي دي
CDE panel,لوحة تحكم CDE
CD-ROM,خلية,سى دى روم
Cell,خلية
Cell encoding,ترميز الخلايا
Cellphone,هاتف خلوي
Cellular,خلوي
Cellular automata,مشتغلات آلية خلوية
Cellular automaton,مشتغل آلي خلوي
Cellular multiprocessing,معالجة متعددة خلوية
Center,موسط
Centered,موسط
Centimeter,سنتيمتر
Central arbiter,حكم مركزي REMOVE
Central office,مكتب مركزي
Central processing unit,وحدة المعالجة المركزية,وحدة التشغيل المركزية
Centum call second,مئة ثانية اتصال
Cepstrum,سبستروم
Certificate,شهادة
Certify,إشهاد
Chad,فتات
Chad box,صندوق فتات
Change,تغيير
Change management,إدارة التغيير
Changeover,استعداد للتغيير
Channel service unit,وحدة خدمية قنوية
Chaos,شواش
Chapter,فصل
Char,محرف
Character device,جهاز محرفي
Character encoding,ترميز الأحرف,تكويد الرمز
Character encoding scheme,مخطط ترميز محارف
Character graphic,رسم محرفي
Characteristic function,دالة مميزة
Character key,مفتاح محرفي
Character map,خريطة الأحرف
Character repertoire,مسرد محارف
Character set identifier,معرف طقم محارف
Char cell,خلية محرف
Charityware,برنامج خيري
Charmap,خارطة محارف
Charset,طقم محارف
Chart,خطاطة,رسم بياني
Chase pointers,مؤشر تقصصSINGULAR
Chatchup,غرفة دردشة
Chat room,غرفة دردشة
Chat script,مخطوط محادثة
Check,فحص تأكد,مراجعة ذاتية,اختبار تحويل
Check (a button),بت الفحص
Check bit,بت الفحص
Check box,صندوق تأشير,خانة تأشير
Checkbox menu,قائمة خيارات مربع تأشير
Checkered,سحب
Checkout,سحب
Checkpoint,نقطة التحقق,نقطة اختبار
Checksum,تدقيق المجموع,مجموع اختباري
Child,بنوي
Child directory,دليل بنوي
Child process,عملية بنوية
Child record,تسجيلة بنوية
Child status,حالة بنوية
Child structure,بنية بنوية
Child version,نسخة بنوية
Child window,إطار فرعي
Chip,رقاقة [رقاقات],رقاقة
Chip box,صندوق فتات
Chip set,مجموعة شرائح,طقم رقاقات
Chmod,اختيار
Choice,اختيار
Choose,اختيار
Chooser,عدد لوني
Chroma,عدد لوني
Chroma key,عدد لوني
Chromatic number,عدد لوني
Chrome,الكروماتية
Chrominance,الكروماتية
Cipher,شيفرة
Ciphertext,نص مشفر
Circle,دائرة
Circuit,دارة,دائرة كهربائية
Circuit switched,دوري الإبدال
Circuit switching,محفظ دوري,تبديل الدوائر
Circular buffer,محفظ دوري
Circumflex,قبعة
Citizen journalism,صنف
Class,صنف
Class hierarchy,سلالة أصناف
Classic,تقليدي,اعتيادي
Classical logic,منطق تقليدي
Classification,تصنيف
Classify,تصنيف
Class library,مكتبة أصناف
Class method,طريقة صنفية
Classpath,متغير صنف
Class variable,متغير صنف
Clause,بند
Clean,تنظيف,نظيف
Clear,محو
Clear box testing,نقر
Click (noun),نقرة
Click (verb),نقر
Client-server,عميل وخادوم,المنتفع والخادم
Client-server model,نموذج عميل وخادم
Client-side,من جهة العميل
Clip board,لوحة قصاصات,حافظة
Clip list,قائمة قصاصات
Clip mask,قناع قصاصة
Clipping,ساعة
Clipping plane,ساعة
Clock rate,سرعة ساعة,معدل نبضات الساعة
Clock speed,سرعة الميقاتية
Clone,مستنسخ,استنساخ,جهاز مستنسخ
Clone device,جهاز مستنسخ
Close,إغلاق
Closed set,مجموعة مغلقة
Closed surface,مساحة مغلقة
Closed term,حد مغلق
Close routine,وتيرة إغلاق
Closure,إغلاق
Closure conversion,مفتاح نفل
Cloud computing,مفتاح نفل
Clover key,مفتاح نفل
Clumsy,طائش
Cluster,خصلة,عنقود,تجمع
Cluster file,ملف حشد
Clustering,حشد
Cluster member,عضو حشد
Cluster node,عقدة خصيلة,عقدة عنقود
Cluster-transport,نقل حشد
Coalesced sum,حب خشن
Coarse grain,حب خشن
Coax,كبل متحد المحور
Coaxial,متحد المحور
Cocktail shaker sort,فرز خلاط
Codebase,قاعدة شفرة
Codec,مرماز,مشفر فاك
Coded character set,طقم محارف مرمز
Code division multiplexing,تسيير شفرة
Code folding,تسيير شفرة
Code management,تسيير شفرة
Code position,موضع رمز
Code (program),شفرة
Code segment,قطعة شفرة
Code (symbol),رمز
Code violation,خرق (قواعد) الرماز
Code walk,مراجعة شفرة
Codomain,معامل
Coefficient,معامل
Cognitive architecture,عمارة إدراكية
Collaboration,تعاون
Collapse,طي
Collate,رزم
Collect,التقاط
Collection,مجموعة
Collision,تصادم
Collision detection,كشف تصادمات,كشف التصادم
Colocation,توصيل شبكي
Colon,نقطتان
Colophon,حرد المتن
Color,لون
Color chooser,مخير ألوان
Color map,مخطط الألوان,مخطط ألوان
Color model,نموذج ألوان
Color saturation,إشباع ألوان
Colour,لون
Colour depth,عمق ألوان
Colour look-up table,جدول بحث عن الألوان
Colour model,نموذج ألوان
Colour palette,لوحة ألوان
Column span,تجميعة
Combination,تجميعة
Combinator,دالة توافقية
Combinatory logic,منطق توافقي
Combo box,مربع تحرير وسرد,مربع مركب
Command button,زر أمر
Command interpreter,مؤول أوامر
Command key,مفتاح أمر
Command line,سطر الأوامر,واجهة سطر الأوامر
Command line interface,واجهة سطر الأوامر
Command-line interpreter,مؤول سطر أوامر
Command line option,خيار سطر أوامر
Command line options,خيارات سطر الأوامر
Command Prompt,محث أوامر
Comma separated values,قيم مفصولة بفواصل
Comment,تعليق
Comment out,إزالة تعليق
Commercial a,علامة عند
Commit,إيداع
Common,شائع
Common carrier,حامل اعتيادي
Common factor,عامل مشترك
Common properties,خصائص عامة
Communication,تواصل,بروتوكول الاتصال
Communication system,نظام اتصال
Compact,مدمج
Compact disc,قرص مدمج
Compactness preserving,حفظ تضام
Company,الشركة
Compare,مقارنة
Compatible,متوافق
Compilation,تصريف,ترجمة
Compile,تصريف
Compiler,مصرف,برنامج ترجمة
Compiler compiler,مترجم مترجم,مولد المترجمات
Complement,تكملة,مكمل
Complete,تام
Complete graph,تخطيطة كاملة,مخطط كامل
Complete inference system,نظام استنباط كامل
Complete lattice,فضاء متري كامل
Complete metric space,فضاء متري كامل
Completeness,كمول
Complete partial ordering,ترتيب جزئي كامل
Complete theory,نظرية كمول
Complete unification,توحيد كامل
Complexity,تعقد,تعقدية
Complexity analysis,تحليل تعقد
Complexity class,صنف تعقد
Complexity measure,قياس تعقد
Complex number,عدد مركب
Complex programmable logic device,جهاز منطقي معقد قابلة للtranslated
Component architecture,عمارة مكونية
Component based development,تطوير مبن على المكونات
Component video,تركيب
Compose,تركيب
Composite,تركيب
Composite cable,تركيب
Composite drive,تركيب
Composite video,تركيب
Composition,تركيب
Compound command,أمر مركب
Compound key,مفتاح مركب
Compress,ضغط
Compressed,مضغوط
Compressed video,مرئية مضغوطة
Compressibilty factor,عامل الإنضغاط
Compression,ضغط,انضغاط
Computability theory,نظرية تحسيب
Computable,قابل للتحسيب
Computational complexity,بيولوجيا جزيئية حاسوبية
Computational geometry,بيولوجيا جزيئية حاسوبية
Computational learning,بيولوجيا جزيئية حاسوبية
Computational molecular biology,بيولوجيا جزيئية حاسوبية
Computational organochemistry,كيمياء عضوية حاسوبية
Compute,حساب
Computer algebra system,عنقود حاسوبي
Computer cluster,عنقود حاسوبي
Computer cookie,حلوى حاسوب
Computer ethics,أخلاقيات حاسوب
Computer-generated imagery,تصوير مولد بالحاسوب
Computer language,لغة الحاسوب
Computer law,قانون حاسوب
Computer literacy,إلمام بالحاسوب,الثقافة الحاسوبية
Computer program,برنامج حاسوب,برنامج للحاسوب
Computer virus,فيروس حاسوبي,فيروس الحاسوب
Computer vision,بصر حاسوبي
Compute server,خادم حساب
Computing,حوسبة
Computron,حاسوبون
Concatenate,لم
Concatenated key,مفتاح ملموم
Concentrator,مركز,مكثف اتصالات
Conceptualisation,مفهمة
Concrete class,فئة محددة
Concrete syntax,نحو مادي
Concurrent,مرافق,متزامن
Concurrent processing,معالجة منافسة
Condense,تكثيف
Condensed,مكثف,موجز
Condition out,تفريغ شرط
Conduit,مجرى
Cone,مخروط
Confidence test,اختبار ثقة
Confidential,سري
Configuration item,عنصر تشكيل
Configuration management,برمجة تشكيل
Configuration programming,برمجة تشكيل
Configure,ضبط
Confirm,تأكيد
Confirmation,تأكيد
Conflation,تضارب,تناقض
Congestion,احتقان
Conjunction,اقتران
Connect,اتصال
Connected graph,مبيان متصل,مخطط متصل
Connected subgraph,مبيان فرعي متصل
Connection,اتصال
Connectionless protocol,ميفاق بدون اتصال
Connection-oriented,موجه بالاتصال
Connection-oriented network service,خدمة شبكية موجهة بالاتصال
Connection pool,مجمع اتصالات
Connective,رابط,إتصالي,رابطة (عامل ربط)
Connectors,تقييم محافظ
Conservative evaluation,تقييم محافظ
Consistently complete,كونسول
Consolidate,توطيد,تدعيم
Constant angular velocity,سرعة زاوية ثابتة
Constant applicative form,شكل تطبيقي ثابت
Constant folding,طي ثابت
Constant linear velocity,سرعة خطية ثابتة
Constant mapping,قيد,قسر
Constraint,قيد,قسر
Constraint functional programming,برمجة وظيفية قيدية
Constraint satisfaction,إرضاء قيود
Constructed type,نوع مبني
Constructive,بنائي
Constructive solid geometry,هندسة صلبة بنائية
Constructor,باني
Consultant,مستشار
Contact,مراسل
Contact (noun),معرفة
Contact (verb),اتصال
Container,حاوية
Container class,صنف واع
Content,محتوى
Content addressable memory,ذاكرة ذات محتوى قابل للقصد
Content-based information retrieval,سحب معلومات مبن على المحتوى
Contention slot,مهلة تنازع
Context,سياق
Context clash,تعارض سياق
Context-free,مستقل عن السياق
Context-free grammar,نحو مستقل عن السياق,قواعد لا سياقية
Context object,كائن سياق
Context operator,عامل سياق
Context-sensitive,متأثر بالسياق
Context-sensitive menu,قائمة خيارات متأثرة بالسياق
Context switch,تبديل سياق
Contextual menu,قائمة خيارات سياقية
Continuation,استمرار,متابعة (برمجة دوال),اتصال (دالة)
Continuation passing style,أسلوب تمرير متابعة
Continue,استمرار
Continuous,مستمر,متصل (دالة,خط),متواصل
Continuous function,دالة متصلة
Continuous wave,موجة متصلة
Contour,محيط
Contraction,تقليص
Contract programmer,مبرمج تحت عقد
Contribution,مساهمة
Contributor,مساهم
Control,تحكم,تحكم متتابع
Control code,رمز تحكم
Control file,ملف تحكم
Control flow,متحكم
Control point,نقطة التحكم
Control structure,بنية تحكم
Control unit,وحدة تحكم
Conventional memory,ذاكرة اصطلاحية
Converge,يحتشد
Conversation,محادثة
Converse,تحويل,عكس (منطق)
Conversion,تحويل
Conversion to iteration,تحويل إلى التكرار
Convert,تحويل
Converting,تحويل
Convex hull,كعكة
Cooccurrence matrix,كعكة
Cooperative,جماعي
Cooperative multitasking,تعدد المهام التعاوني
Coordinate,تنسيق
Coordination language,لغة تنسيق
Coproduct,منتوج جانبي
Copy and paste,إنسخ وألصق
Copying garbage collection,النسخ للجميع
Copy left,النسخ للجميع,نسخ
Copy (noun),نسخ
Copy protection,حماية النسخ,حماية من النسخ,الحماية ضد النسخ
Copyrighted,محفوظ الحقوق
Copy (verb),نسخة
CORBA,كوربا
Core,لب
Core class,فئة باطنية
Core dump,تفريغ الباطن
Core file,ملف باطني
Core gateway,زاوية
Core leak,زاوية
Corner,زاوية
Corollary,مكنز
Corporate,مكنز
Corpus,مكنز
Correct,صحيح
Correlation,تعالق,ارتباط
Correspondence,تلاؤم
Correspondent,موائم,متوائم
Corrupt,فاسد,تالف
