analog to digit converter,مُحَوِّلُ تَناظُرِيُّ إلى رَقْمِيٍّ
LCD ),نوع من شاشات العرض بسائل بلّوري، طورته "شركة كنت لأنظمة العرض"، باستخدام تكنولوجيا جامعة كنت بولاية أوهايو بالولايات المتحدة الأمريكية. وقد تم ابتكار هذه الشاشة للاستخدام مع قارئ الكتب الإلكترونية وأجهزة المساعد الرقمي الشخصي. وتَستخدِم هذه الشاشة نوعًا من الكوليستير، للحصول على خلفية معتمة من أي لون، وعلى دقة عرض أمامية تصل إلى 100 نقطة لكل بوصة مربعة (وهى أكثر وضوحًا منها على الحاسوب الشخصي)، ولا تتطلب ضوءً خلفيًا. ولا تتطلب هذه الشاشات طاقة لعرض الصور الثابتة، كما أنها خالية تمامًا من الزجاج، وبالتالي فهي أخف من الشاشات الزجاجية التقليدية.
cinepak,ساينباك
cypher,شَيْفَرَة
circuit,دائِرَةٌ كَهْرَبائِيَّةٌ
circuit board,لَوْحَةُ دائِرَةٍ إلِكْترونِيَّةٍ
circuit switching,تَبْديلُ الدَّوائِرِ
circular reference,مرجعية دورانية
circular shift,إزاحَةٌ دائِرِيَّةٌ
clamping voltage,فلطية التثبيت
clarinet,كلارينيت ( شبكة إيضاحية)
clear instruction,أمْرُ مَحْوٍ
CTS/RTS,جاهز للإرسال
click,نَقرة
client/server,المنتفع والخادم
clip art,صور متاحة
clipboard,حافظة
clock,ساعَة (نابِضَة)
clock pulses,نَبَضاتُ السَّاعَةِ
clock rate,مُعَدَّلُ نَبَضاتِ السَّاعَةِ
clone,جهاز مستنسخ
CUG,مَجْمُوعاتٌ مُغْلَقَةٌ للمُسْتَخْدِمينِ
closing a file,إقْفالُ مِلَفٍّ
cluster,تَجَمُّع
cluster analysis,تَحْلِيلٌ عُنْقُودِيٌّ
COSMOS,كوزموس
cyan , magenta , yellow,أزرق داكن - أحمر أرجوانى - أصفر
coaxial cable,كَبْلٌ متمحور
COBOL,كوبول
code,كود
code system,نِظامٌ كُودِيٌّ
code system,نظام تشفير
code, computer,نظام ترميز للحاسوب
code, instruction,رمز الأمر
code, memory,كُودُ الذَّاكِرَةِ
code, multiple address,نظام ترميز لعناوين متعددة
code, numeric,رمز رقمي
codec (compression/ DE compression),كودِك
codename,اسم كودي
codec,مُشَفِّرٌ فاكٌّ
coding,ترميز
coding, program,صِياغَةُ البَرامِجِ
cognitive modeling,نمذجة بالإدراك
cognitive science,علم الإدراك
cold boot,إنهاض على البارد
collating sequence,متتابعة ضم
collation,ضم
collision,تصادم
collision detection,كشف التصادم
color bits,بيتات اللون
color depth,عمق اللون
color graphics monitor,شاشَةُ الرُّسُومِ المُلَوَّنَةِ
common algorithmic language,لغة خوارزمية عامة
combinational (combinatorial ) circuit,دائِرَةٌ تَوْفِيقِيَّةٌ
combinatories,تَوَافِيقِيَّات
command,أمر
CLI,واجهة خط الأوامر
comment statement,عِبارَةٌ شارِحَةٌ
CIX,مؤسسة التبادل التجاري عبر الإنترنت
,مؤسسة دولية غير ربحية مقرها الولايات المتحدة الأمريكية، أعضاؤها هم متيحو خدمة الإنترنت وبيانات شبكات الآخرين. وتُعد المؤسسة العمود الفقري لخدمة الإنترنت الأمريكية التي يتم تمويلها من قبل متيحي الخدمات التجارية.
COMAL,كومال
communication channel,قناة اتصال
communication link controller,ضابط وصلة اتصالات
communication network,شبكة اتصالات
communication processor,مُشَغِّلُ اِتِّصالاتٍ
communications decency act,قانون آداب الاتصالات
CESG,مجموعة تأمين الاتصالات الإلكترونية
commutative operation,عَمَلِيَّةٌ تَبادُلِيَّةٌ
CD,قرص مدمج ( سي دي)
CDFS,نظام ملفات الأقراص المدمجة
compaction,ضَغْط
comparator,مُقارِن
compare instruction,أمْرُ مُقارَنَةٍ
compatibility,تَوافُق
compilation,تَرْجَمَة
compilation time,مدة الترجمة
compiler,برنامج ترجمة
compiler compiler,مُوَلِّدُ المُتَرْجِماتِ
complement,مُكَمِّل
complete graph,مُخَطَّطٌ كامِلٌ
complexity,تَعَقُّدِيَّة
compliant (compatible),(متوافق) مُطابِق
COM,نموذج مكونات الهدف
compression,اِنْضِغاط
computational psychology,عِلْمُ النَّفْسِ الحِسابِيُّ
computer,حاسوب
CAD,التَّصْميمُ بمُعاوَنَةِ الحاسوب (كاد)
CAI,التَّعْلِيمُ بمُعاوَنَةِ الحاسوب (ك ا ي)
CAM,التَّصْنِيعُ بمُعاوَنَةِ الحاسوب (ك ا م)
CAT,الاخْتبارُ بمُعاوَنَةِ الحاسوب (ك ا ت)
CAT,ك ا ت
computer architecture,بِنْيَةُ الحاسوب
CAL,التَّعَلُّمُ بمُعاوَنَةِ الحاسوب
computer based learning,التَّعْلِيمُ باِسْتِخْدامِ الحاسوب
CBT,التَّدْرِيبُ بمُعاوَنَةِ الحاسوب
computer crime,الإجرام بالحاسوب
CERT,فريق الاستجابة لطوارئ الحاسوب (سيرت )
computer family,عائِلَةُ حواسيب
computer graphics,بَيانِيَّاتُ الحاسوب
computer instruction,أمر للحاسوب
computer literacy,الثقافة الحاسوبية
computer logic,مَنْطِقُ الحاسوب
electronic mail,البَرِيدُ الإلِكْترونِيُّ
CMI,إرْشاداتٌ عَن طَرِيقِ الحاسوب
computer network,شَبَكَةُ حواسيب
COM,ميكروفيلم لمخرجات الحاسب
computer power,قُدْرَةُ الحاسوب
computer program,برنامج للحاسوب
computer science,عِلْمُ الحواسيب - علم الحاسبات
configuration, computer,نظام حاسوب
computer virus,فَيْرُوسُ الحاسوب
computer word,كلمة حاسوبية
computer, digital,حاسوب رقمي
computer, electronic,حاسوب إلكتروني
computer, general purpose,حاسوب عام
computer, special purpose,حاسوب لغرض خاص
computer, synchronous,حاسوب تزامني
computing,حوسبة
concatenated coding systems,نظم التكويد المتسلسلة
concatenation,الضَّمُّ
concentrator,مُكَثِّفُ اِتِّصالاتٍ
concurrency,تَواقُت
concurrent programming,بَرْمَجَةٌ مُتَواقِتَةٌ
condition code,كُودُ الحالَةِ
conditional branch instruction,أمْرُ تَفْرِيغِ مَشْرُوطٌ
conferencing system (CoSy),نظام عقد المؤتمرات (كوزي)
configuration, computer,تَرْكِيبَةُ الحاسوب (هَيْئَةُ الحاسوب)
conjunction,اِقْتِران
connected graph,مُخَطَّطٌ مُتَّصِلٌ
connective,رابِطَة (عامِلُ رَبْطٍ)
connectivity,الاِتِّصالِيَّةُ
console,وَحْدَةُ التَّحَكُّمِ والمُراقَبَةِ، كونسول
constant,ثابِت
CAV,نمط التشغيل بسرعة زاوِيَّة ثابتة
CLV,نمط التشغيل بسرعة خطية ثابتة
CSG,الهندسة الفراغية التشكيلية
CAM,ذاكِرَةٌ مُعَنْوَنَةٌ بمَضْمُونِها ( ك ا م)
contention,تَزاحُم
contention,صراع
context analysis,تَحْلِيلُ السِّيَاقِ
context sensitive grammar,قَواعِدٌ سِياقِيَّةٌ
context dependent grammar,قَواعِدٌ سِياقِيَّةٌ
context dependent language,لُغَةٌ سِياقِيَّةٌ
context free grammar,قَواعِدٌ لا سِياقِيَّةٌ
context free language,لُغَةٌ لا سِياقِيَّةٌ
context sensitive help,مساعدة سياقية
context dependent language,لُغَةٌ سِياقِيَّةٌ
contiguous,متجاور
contiguous storage,تَخْزِينٌ مُتَلاصِقٌ
contingency procedure,إجْراءاتُ الطَّوَارِئِ
continuation line,سَطْرُ اِسْتِكْمالٍ
continue statement,عِبارَةُ "اِسْتَمِرْ"
continuous systems,نظم الإشارات المتصلة
contrapositive,مَعْكُوس
contrast,تباين
control bus,مَسارٌ تَجْميعِيٌّ للتَّحَكُّمِ
control character,رَمْزُ تَحَكُّمٍ
control cycle,دَوْرَةُ التَّحَكُّمِ
control design,تَصْمِيمُ وَحْدَةِ التَّحَكُّمِ
control line,خَطُّ تَحَكُّم
control program,بَرْنامَجُ تَحَكُّمٍ
CU,وَحْدَةُ التَّحَكُّمِ
control, sequential,تحكُّم متتابع
controller,مُتحكِم
convergence,تَقارُب
CAL,لغة محادثة جبرية
interactive mode,نمط تفاعلي
"white-space: pre;">,تحويل بيانات
convolution,حَوِيَّة
matrix store,خازنة إحداثية
coprocessor,مُشَغِّلٌ مُساعِدٌ
copy,نُسْخَة
copy protection,الحماية ضد النسخ
document copying machine,ناسِخَة
common real time application language,كورال
common object request broker architecture,النظام العام لوسطاء الطلبات
wireless,لاسلكي
core store,ذاكِرَةٌ مَرْكَزِيَّةٌ
core memory,ذاكِرَةٌ مَرْكَزِيَّةٌ
remedial maintenance,صيانة إصلاحية
correlation,اِرْتِباط
corrupt,تالف
corruption of data,إفساد البيانات
counter,عَدَّاد
covariance,تَغايُرٌ مُشْتَرَكٌ
character per second,حَرْفٌ في الثَّانِيَةِ (حَرْفً/الثَّانِيَة)
central processing unit,وَحْدَةُ التَّشْغِيلِ المَرْكَزِيَّةِ
CPU cycle,دَوْرَةُ وَحْدَةِ التَّشْغِيلِ المَرْكَزِيَّةِ
CPU time,زَمَنُ التَّشْغِيلِ المَرْكَزِيِّ
cracker,المُتَلصص
cracking,تلصص
crash,انهيار
crash, disk,تَلَفُ وَحْدَةُ الأقْراصِ
crash, system,تَعَطُّلُ النِّظامِ
crimping tool,أداة ربط (كُلابة)
crippled mode,نمط كسيح
critical path method,طَرِيقَةُ المَسارِ الحَرِجِ
critical resource,مَصْدَرٌ حَرِجٌ
critical section,الجُزْءُ الحَرِجُ
crop,تقليم
crop marks,علامات التقليم
cross compiler,مُتَرْجِمٌ تَحْويلِيٌّ
crossover cable,كبل تحويل
crosstalk,تداخل الإشارات
cathode ray tube,أُنْبُوبَةُ أشِعَّةِ الكاثودِ
crunch, to,يطحن
cryptanalysis,حَلُّ الشَّفْرَةِ المُلَغَّزَةِ
cryptography,تَشْفَيرٌ مُلَغَّزٌ- إلْغاز
cryptology,كربتولوجيا
clear to send/ ready to send,واضح للإرسال / جاهز للإرسال
control unit,وَحْدَةُ تَحَكُّمٍ
common user interface,تواصُل بيني للمستخدم العادي
cumalitive distribution function,دالَّةُ التَّوْزِيعِ التَّراكُمِيِّ
current instruction register,مُسَجِّلُ الأمْرِ الجارِي
current reality,الحقيقة السائدة
cursor,مؤشر
CU-SeeMe,سي يو - سي مي ( أراك وتراني )
customer developed program,بَرْنامَجٌ مِنْ وَضْعِ المُسْتَخْدِمِ
CRM,إدارة علاقات العملاء
customizing,تصنيع وفقا للطلب
articulation point,عُقْدَةُ المَفْصِلِ
campus wide information system,النظام المعلوماتي على نطاق الحرم الجامعي
cybercafe',المقهى السيبرانى
cyberlaw,القانون السيبراني
cybernetics,السيبرنطيقا
cyberpunk,الحقير السيبراني
cyberspace,الفضاء ( المتخيَّل )
cyberwar,حرب عنكبوتية
cycle stealing,سَرِقَةُ الدَّوْراتِ
cycle time,زَمَنُ الدَّوْرَةِ
cyclic code,شَفْرَةٌ دائِرِيَّة
cyclic redundancy check,اختبار دوري إضافي
cyclic store,خازنة دورية
cylinder,أُسْطُوانَة
cypherpunk,الحقير السيبراني
,مصطلح مختصر من كلمة  cipher  بمعنى شَفْرة، و كلمة cyberpunk  بمعنى الحقير السيبراني، ويعنى الاعتقاد بأهمية التوصل الحر إلى المناطق الشديدة التشفير بالشبكة، فيما يخص الحفاظ على الخصوصية والمحادثة الحرة.
D flip-flop,دائِرَةٌ قَلاّبَةٌ " D"
D object,عنصر ثلاثي الأبعاد
digital to analog convertor,مُحَوِّلٌ رَقْمِيُّ إلى تَناظُرِيٍّ
daemon,برنامج خفي
daisy chain,سِلْسِلَةٌ تَعاقُبِيَّةٌ
damping,تَخْمِيد
dashboard,لوحة المعلومات، لوحة المتابعة
digital audio tape,شريط صوتي رقمي
data,بَيانات
data collection,احتياز بَياناتٍ
data acquisition control system,نظام التحكم في احتياز البيانات
data adapter unit,وحدة مهايئ البيانات
data bus,مَسارٌ تَجْمِيعِيٌّ للبَياناتِ ( مَسارُ بَياناتٍ)
data acquisition,احتياز بيانات
data link,قَناةُ البَياناتِ (وُصْلَةُ البَياناتِ)
data acquisition,احتياز بيانات
data collision,تصادم البيانات
data communication,اِتِّصالاتُ البَياناتِ
data communication channel (link),قَناةُ اِتِّصالِ البَياناتِ
DCE,مُعَدَّاتُ اِتِّصالٍ البَياناتِ
data compression,ضَغْطُ البَياناتِ
data corruption,فَسادُ البَياناتِ
data declaration statement,صِيغَةُ إعْلانِ البَياناتِ
data definition,تَعْرِيفُ البَياناتِ
data density,كَثافَةُ البَياناتِ
DDL,لُغَةُ تَوْصِيفُ البَياناتِ
data dictionary,مُعْجَمُ البَياناتِ
data encrypting key,مِفْتاحُ تَشْفِيرِ البَياناتِ
data encryption,تَشْفِيرُ البَياناتِ
DES,مِعْيارُ تَشْفِيرِ البَياناتِ
data entry,إدْخالُ البَياناتِ
data error,خَطَأٌ في البَياناتِ
data file,مِلَفُ بَياناتٍ
data format,صيغَةُ البَياناتِ
data independence,اِسْتِقْلالُ البَياناتِ
data integrity,سَلامَةُ البَياناتِ
data leakage,تسرب البيانات
data link,قَناةُ بَياناتٍ
data link layer,طَبَقَةُ رَبْطِ البَياناتِ
data link protocol,بروتوكولُ رَبْطِ البَياناتِ
data logging,تَسْجِيلُ أداءِ البَياناتِ
DML,لُغَةُ تداوُلِ البَياناتِ
data network,شَبَكَةُ بَياناتٍ
data preparation,تَجْهِيزُ البَياناتِ
data processing,مُعالجةُ البَياناتِ
data protection legislation,تشريع حماية البيانات
data purification,تنقية البيانات
data retrieval,اِسْتِرْجاعُ البَياناتِ
data stream,دُفْقَةُ بَياناتٍ
data structure,هَيْكَلُ البَياناتِ
data tablet,لَوْحَةُ بَياناتٍ
data transfer rate,مُعَدَّلُ نَقْلِ البَياناتِ
data translation,تَرْجَمَةُ البَياناتِ
data transmission,إرْسالُ البَياناتِ
data type,نَوْعُ البَياناتِ
data validation,تَحْقِيقُ البَياناتِ
data verification,تَأْكِيدُ البَياناتِ
data warehouse,مستودع بيانات
databank,بَنْكُ بَياناتٍ
database,قاعدة بيانات
DBMS,نِظامُ إدارَةِ قاعِدَةِ بَياناتٍ
datagram,حُزْمَةُ بَياناتٍ (رِسالَةُ بَياناتٍ)
datagram service,خِدْمَةُ رِسالَةِ البَياناتِ
datum,عُنْصُرُ البَياناتِ (بَيانَة)
daughterboard,لوحة مساعدة
database administrator,مدير قاعدة البيانات
data communication equipment,مُعَدَّاتُ اِتِّصالِ البَياناتِ
dispatcher control table,جدول تحكم موزِّع المهام
De facto standard protocol,بروتوكول معياري بحكم الواقع
De morgan laws,قانُونا دي مورجان
de updating,الرجوع للسابق
deadlock,تَوَقُّفٌ بالتَّشابُكِ
deadlock,تَوَقُّفٌ تامٌّ
deallocate,وَقْفُ تَخْصِيصٍ
deallocation,إلغاء تخصيص
debouncing,تَلافي الاِرْتِدادِ
debugger,مُحدِد الأخْطاءِ
debugging,عِلاجُ الأخْطاءِ
decay time,زَمَنُ الاِضْمِحْلالِ
deceleration time,زَمَنُ التَّباطُؤِ
decentralized processing,تشغيل لا مركزي
decision gate,بَوَّابَةُ القَرارِ
decision problem,مَسْأَلَةُ اِتِّخاذِ القَرارِ
decision support systems,نُظُمُ دَعْمِ اِتِّخاذِ القَرارِ
decision table,جَدْوَلُ قَراراتٍ
decision tree,شَجَرَةُ قَراراتٍ
declarative statement,جُمْلَةٌ تَعْرِيفِيَّة
declarative language,لغة تعريفية
non procedural language,لُغَةٌ غَيْرُ إجْرائِيَّةٍ
declaration statement,جُمْلَةٌ تَعْرِيفِيَّةٌ
decoder,فاكُّ الكود
decoder demultiplexer,مُوَزِّعُ الكودِ
decoding,فَكُّ الشَّفْرَةِ
decollector,مُفَرِّق
decompiler,مُتَرْجِمٌ عَكْسِيٌّ
decompression,فك الانضغاط
decrement,(انظر: انضغاط   compression)
decryption,فك تشفير
dedicated,مُخَصَّص
default,إعداد سابق
default value,قيمَةٌ أصْلِيَّةٌ
deferred addressing,عَنْوَنَةٌ مُرَحَّلَةٌ
erase,أمْرُ حَذْفٍ
delay line,خَطُّ تَأْخِيرٍ
DEL,أمْرُ حَذْفٍ
deletion,حَذْف
delimiter,مُحَدِّد
demagnetization,إزالَةُ المَغْنَطَةِ
demand,نِداءٌ عِنْدَ الطَّلَبِ
demo,نسخة حفز استعراضية
demodularization,دمج الوحدات
demodulator,فاكُّ التَّضْمِينِ
dismount,أمْرُ بإيقاف التَّحْمِيلِ
demultiplexer,مُفَرِّق
depth-first search,بِحْثٌ بالعُمْقِ أولاً
double ended queue,طابُورٌ مُزْدَوِجُ النِّهايَةِ
derivation tree,شَجَرَةُ الاِشْتِقاقِ
derivative,مُشْتَقّ
DES,دي إي إس
descendants,أخلاف (جَمْعُ خَلَف)
,عناصر الشجرة التي تشترك في سلف واحد.
desktop,أعلى السطح
DTP,ناشِرٌ مَكْتَبِيٌّ
destination code,كودُ المَقْصِدِ
DRO,قِراءةٌ مُتْلِفَةٌ
deterministic,مُحَدَّدَة
device driver,برنامج توظيف أداة
dynamic host configuration protocol,البروتوكول الدينامي المهايئ المضيف
Dhrystone,درايستون
diagnosis,تَشْخِيص
diagnostic message,رِسالَةٌ تَشْخِيصِيَّةٌ
diagnostic routine,بَرْنامَجُ تَشْخِيصٍ
dial up access,دخول بالاتصال الهاتفي
dialer,برنامج للاتصال الهاتفي
dialing unit,وَحْدَةُ تَلْفَنَةٍ
dictionary,مُعْجَم
digit,رَقْم
digital,رَقْمِيّ
DAT,دات
digital circuit,دائِرَةٌ رَقْمِيَّةٌ
digital computer,حاسوب رَقْمِيٌّ
digital image processor,معالج رقمي للصور
digital data transmission,إرْسالُ البَياناتِ الرَّقْمِيَّةِ
digital design,تَصْمِيمٌ رَقْمِيٌّ
digital logic,مَنْطِقٌ رَقْمِيٌّ
digital photography,تصوير رقمي
digital recording,تسجيل رقمي
DRM,الإدارة الرقمية لحقوق النشر
digital signal,إشارَةٌ رَقْمِيَّةٌ
digital signal processing,التَّشْغِيلُ الرَّقْمِيُّ للإشاراتِ
digital signature,توقيع رقمي
digital to analog convertor,مُحَوِّلٌ من رَقْمِيٍّ إلى تَناظُرِيٍّ
digitization,تَحْويلٌ رَقْمِيٌّ (رقمنة)
digitizer,مُحَوِّلٌ رَقْمِيٌّ
digitizing pad,لَوْحَةُ التَّقْسِيمِ الرَّقْمِيِّ
dimension (dimensionality),البُعْدِيَّةُ
dingbats,رموز زخرفية
dip switches,مَفاتِيحُ الاِخْتِباراتِ
direct - x,التوصل المباشر
DASD,جِهازُ تَخْزِينٍ بالتَّوْصِيلِ المُباشِرِ
direct addressing,عَنْوَنَةٌ مُباشَرَةٌ
direct coupled machines,آلاتٌ بتَقارُنٍ مُباشِرٍ
direct data entry,إدْخالٌ مُباشِرٌ للبَياناتِ
direct graph,مُخَطَّطٌ مُوَجَّهٌ
DMA,تَوَصُّلٌ مُباشِرٌ إلى الذَّاكِرَةِ
directive,مُوَجَّه
directory,دَلِيل
,كل وسيلة تستخدم لتحديد أماكن هياكل البيانات، وعلى الأخص أماكن الملفات المخزنة في الحاسوب، ويتم ذلك بتخزين العلاقة بين أسماء الملفات، وأماكن تخزينها، على وسيط التوصل المباشر.
disarm, to,يُجَرِّدُ
disassembler,مُجَمِّعٌ عَكْسِيٌّ
disaster dump,تفريغ اضطراري
disk,قُرْص
disconnect,أمْرُ فَصْلٍ
discrete channel,قَناةٌ مُتَقَطِّعَةٌ
DCT,تحويل جيب التمام (باستخدام قيم منفردة)
discrete system,نِظامٌ مُتَقَطِّعٌ
discretization error,خطأ التقطيع
disc,قُرْص
disk pack,خَرْطُوشَةُ أقْراصٍ
disk unit,وَحْدَةُ تَشْغِيلِ أقْراصٍ
disk file,مِلَفٌّ قُرْصِيٌّ
disk format,تَهْيِئَةُ القُرْصِ
DOS,نِظامُ تَشْغِيلٍ قُرْصِيٍّ (دوس)
disk optimizer,مُعظِّم استيعاب الأسطوانة
disk cartridge,حُزْمَةُ أقْراصٍ
disk drive,وَحْدَةُ تَشْغِيلِ أقْراصٍ
flexi disk,قُرْصٌ مَرِنٌ
diskless workstation,محطة عمل بلا أسطوانات
demount,أمْرٌ بإيقافِ التَّحْمِيلِ
dispatch,إرْسال
dispatcher,المُرْسِلُ
displacement,إزاحَة
display,عَرْض
character generator,مُوَلِّدُ الحُرُوفِ
display processor,مُشَغِّلُ العَرْضِ
distortion,تَشَوُّه
distributed data base,قاعدة بيانات موزعة
,تطبيق نظام قواعد البيانات في شبكة حواسيب، تُوزَّع فيها قاعدة البيانات على عدد من المواقع تسمى عُقَدا، بحيث يكون لكل موقع حق الاطلاع، واستخدام قواعد بيانات المواقع الأخرى. مثال ذلك توزيع قاعدة بيانات خاصة بالمخازن لشركة مَّا على فروعها، بحيث يكون لكل فرع قاعدة البيانات الخاصة به، ويكون الفرع مسئولاً عن تحديثها أولاً بأول، كما يكون له حق الاطلاع على قواعد البيانات في فروع أخرى، دون إمكانية التعديل فيها، وذلك حتى يمكنه الاستفادة بما في تلك القواعد من بيانات عن توافر أصناف يحتاج إليها، بدلاً من شرائها وهي متوفرة في فرع آخر.
distributed processing,تَشْغِيلٌ مُوَزَّعٌ
distributed system,نِظامٌ مُوَزَّعٌ
distribution list,قائِمَةُ تَوْزِيعٍ
dithering,التكوين الرقمي
domain name server,خادم مستخدمي المجال
DO loop,حَلَقَةُ التِّكْرارِ
docking station,مرفأ
document,وَثِيقَة
copying machine,ناسِخَة
document feeder,مُغَذِّي الوَثائِقِ
documentation,تَوْثِيق
domain,مجال النشاط
dongle,دُنجل ( مفتاح تأمين التشغيل )
disk operating system,دوس (نِظامُ تَشْغِيلٍ قُرْصِيٍّ)
dot matrix printer,طابِعَةٌ بنُقَطٍ مَصْفُوفَةٍ
double buffering,الخَزْنُ الوَسِيطُ المُزْدَوِجُ
double click,نقر مزدوج
double density diskette,قُرَيْصٌ مُزْدَوِجُ الكَثافَةِ
DEQUE,طابُورٌ مُزْدَوِجُ النِّهايَةِ
double precision,دِقَّةٌ مُضاعَفَةٌ
double sided,ذُو وَجْهَيْنِ
doubly linked list,قائمة ثنائية الوصلات
down time,وَقْتُ التَّوَقُّفِ
down time,زمن التعطل
downlink,وصلة أرضية
download,تنزيل
data processing,تشغيل البيانات
dots per inch,نقطة / بوصة
dots per second,نقطة / ثانية
Dr. Watson,د. واطسون
draft copy,مُسَوَّدَة
drag and drop,سحب وإسقاط
,(انظر: مؤشر cursor، أيقونة icon)
drag and drop,قائمة من أعلى لأسفل
dragging,سَحْب
dynamic ram,رام دينامية
dribbleware,طرح المنتجات بالتجزئة
dribbleware,إنتاج بالتجزئة
drift,اِنْجِراف
drive letters,حروف المشغِّل
driver,دافِع
drop dead halt,توقف نهائي
dropout,هُبُوط
drum,أُسْطُوانَة
dry run,تَجْرُبَةُ تَشْغِيلٍ
digital subscriber line,تقنية خطوط الاشتراك الرقمية
digital subscriber line,خط اشتراك رقمي
digital signal processing,معالجة الإشارات الرقمية
dual core,قلب مزدوج
dual port memory,ذاكِرَةٌ ثُنائِيَّةُ المدخل
dual processor,مُشَغِّلٌ مُزْدَوِجٌ
dummy variable,مُتَغَيِّرُ دمية
dummy statement,عِبارَةُ لَغْوٍ
dummy argument,مُتَغَيِّرُ دمية
dump,تَفْرِيغ
dump check,نُسْخَةُ اِخْتِبارٍ
dumped, data,بيانات مودعة
duplex,مُزْدَوِجَةُ الاِتِّجاهِ
duty cycle,دورة العمل
digital versatile disk,أسطوانة فيديو رقمية
DVORAK,دفوراك
dyadic Boolean operation,عملية بوليانية ثنائية
dyadic operation,عَمَلِيَّةٌ ثُنائِيَّةٌ
dynamic allocation,تَخْصِيصٌ دِينامي
dynamic binding,ربط دِينامي
DDE,تبادل دِينامي للبيانات
DHCP,بروتوكول التكوين الدِينامي لمضيف
dynamic memory,ذاكِرَةٌ دِينامية
dynamic programming,البَرْمَجَةُ الدينامية
,وسيلة تخطيط رياضية يتم فيها اتخاذ القرارات على مراحل متتالية. وتستخدم في البرمجة الرياضية، أو في مسائل إيجاد الحل الأمثل.
e-(electronic ) banking,الصرافة الإلكترونية
e-(electronic ) business,الأنشطة الإلكترونية للأعمال
e-(electronic) commerce,التجارة الإلكترونية
,التعاملات التجارية التي تتم من خلال الإنترنت.
Easter egg,خبيئة
eavesdropping,تَنَصُت
E13B,إي 13 بي
EBCDIC,ابسديك
echo check,اِخْتِبارٌ بالصَّدَى
echo suppressor,مخماد
echo,اِخْتِبارٌ بالصَّدَى
e-commerce,التجارة الإلكترونية
econet,إكونِت
electronic cash register,مسجل نقد إلكتروني
edge connector,موصل طرفي
electronic data interchange for  administration , commerce and trade,التبادل الإلكتروني للبيانات في مجالات الإدارة والمؤسسات التجارية
editor,مُحَرِّرٌ
extended data out random access memory,البيانات الموسعة خارج ذاكرة التوصل العشوائي
electronic data processing center,مركز المعالجة الإلكترونية للبيانات
electronic data processing management science,علم إدارة تشغيل البيانات إلكترونيًا
enhanced dynamic RAM,رام دينامية معززة
edulcorate,تنقية البيانات
edutainment,تعليم بأسلوب ترفيهي
e-envoy,مَعَتَمَّد الكتروني
electrically erasable programmable read-only memory,ذاكرة قراءة فقط قابلة للبرمجة وللمحو كهربائيًا
effective address,عُنْوانٌ فِعْلِيٌّ
enhanced graphics adapter,مهايئ مُعَزَزْ لعرض الرسوم
egg,إج
enhanced integrated drive electronics,وحدة تشغيل إلكترونية متكاملة مُعَّزَزَة
executive information systems,نظم المعلومات التنفيذية
extended industry standard architecture,البنية الصناعية القياسية الممتدة
eject, to,يُخرِج
e-learning,التعلُّم الإلكتروني
EEROM,إيروم
EBX,المبادلة الإلكترونية للكتب
electronic communications privacy act,قانون خصوصية الاتصالات الإلكترونية
EDI,التبادل الإلكتروني للبيانات
EDP,المُعالَجَةُ الإلِكْترونِيَّةُ للبَياناتِ
electronic filing,نِظامُ مِلَفَّاتٍ إلِكْترونِيٌّ
EFF,مؤسسة حدود التعامل الإلكتروني
EFT,النَّقْلُ الإلِكْترونِيُّ للاعتِماداتِ المالِيَّةِ
electronic mail,بريد إلكتروني
electronic office,مكتب إلكتروني
electronic publishing,نشر إلكتروني
electronic whiteboard,لوحة بيضاء إلكترونية
electrostatic printer,طابِعَةٌ إلِكْتروسْتاتِيَّةٌ
ELM,إلم
e-mail bomb,قنبلة البريد الإلكتروني
electronic marketplace,السوق الإلكترونية
embedded,مطمور
embedded system,نظام مطمور
enhanced memory management,إي. إم. إم ( إدارة الذاكرة المُعَزَزَة)
emoticons,رموز للمشاعر
empty medium,وسط خالٍ
empty set,فِئَةٌ خالِيَةٌ
empty string,سِلْسِلَةٌ خالِيَةٌ
empty time slot,فترة زمنية متاحة
emulation,مُحَاكاة
emulator,مُتقمص (مُضاه)
enable, to,يمكِّن
encapsulation,كبسلة
encryption,تشفير
EOF,نِهايَةُ المِلَفِّ
EOT,نِهايَةُ الإرْسالِ
end user,مستخدم عادي
endless loop,حلقة متكررة
endnote,حاشية نهاية الملف
engine,محرك
entity,كِيَان
entropy (in information theory),أنتروبيا (في نَظَرِيَّةِ المَعْلوماتِ)
entry point,نُقْطَةُ دُخُولٍ
entry,مَدْخَل
environment,بيئة
end of transmission,نهاية الإرسال
EPROM,إيبروم
erasable programmable read only memory,ذاكرة قراءة فقط قابلة للبرمجة وللمحو
equalizer,المُعادِل
ergonomics,دراسة بذل الجهد
ergonomics, programs of,برمجيات الأداء العضلي
educational resources information center,مركز معلومات الموارد التعليمية
erlang,إيرلنج
error correcting code,حزمة كشف الأخطاء
error correcting code,شَفْرَةٌ ذاتِيَّةُ التَّصْحِيحِ
error message,بَلاغُ أخْطاءٍ
error rate,معدَّل الخطأ
escape character,حَرْفُ هُرُوبٍ
enhance special mobile radio,راديو نقالي معزز
Ethernet,إيثرنت
ethical hacking,تلصُص أخلاقي
even parity bit,بيتَةُ الضَّبْطِ الزَّوْجِيِّ
event viewer,منظار الحدث
